xrange,canard,canard_plus_axial
0.0,0.0,0.0
0.01,0.0,0.0
0.02,0.0,0.0
0.03,0.0,0.0
0.04,0.0,0.0
0.05,0.0,0.0
0.06,0.0,0.0
0.07,0.0,0.0
0.08,0.0,0.0
0.09,0.0,0.0
0.1,0.0,0.0
0.11,0.0,0.0
0.12,0.0,0.0
0.13,0.0,0.0
0.14,0.0,0.0
0.15,0.0,0.001
0.16,0.0,0.001
0.17,0.0,0.001
0.18,0.0,0.002
0.19,0.0,0.001
0.2,0.0,0.002
0.21,0.0,0.003
0.22,0.0,0.002
0.23,0.0,0.004
0.24,0.0,0.004
0.25,0.0,0.005
0.26,0.0,0.006
0.27,0.0,0.006
0.28,0.0,0.007
0.29,0.0,0.005
0.3,0.0,0.006
0.31,0.0,0.007
0.32,0.0,0.007
0.33,0.0,0.008
0.34,0.0,0.008
0.35,0.001,0.012
0.36,0.001,0.013000000000000001
0.37,0.001,0.013999999999999999
0.38,0.001,0.015
0.39,0.001,0.019
0.4,0.001,0.021
0.41,0.002,0.027000000000000003
0.42,0.006,0.031
0.43,0.005,0.031
0.44,0.006,0.034
0.45,0.008,0.041
0.46,0.01,0.049
0.47,0.01,0.049
0.48,0.011,0.055999999999999994
0.49,0.011,0.062
0.5,0.013,0.076
0.51,0.013,0.083
0.52,0.015,0.088
0.53,0.016,0.092
0.54,0.017,0.105
0.55,0.024,0.11699999999999999
0.56,0.026,0.126
0.57,0.029,0.136
0.58,0.032,0.14600000000000002
0.59,0.037,0.163
0.6,0.039,0.17800000000000002
0.61,0.041,0.188
0.62,0.049,0.201
0.63,0.05,0.21000000000000002
0.64,0.058,0.227
0.65,0.063,0.247
0.66,0.07,0.261
0.67,0.079,0.273
0.68,0.086,0.292
0.69,0.094,0.311
0.7,0.098,0.332
0.71,0.103,0.355
0.72,0.118,0.375
0.73,0.126,0.4
0.74,0.137,0.422
0.75,0.148,0.45199999999999996
0.76,0.157,0.46599999999999997
0.77,0.167,0.486
0.78,0.176,0.508
0.79,0.186,0.5389999999999999
0.8,0.204,0.568
0.81,0.209,0.585
0.82,0.212,0.595
0.83,0.215,0.616
0.84,0.225,0.624
0.85,0.23,0.636
0.86,0.239,0.651
0.87,0.238,0.6639999999999999
0.88,0.239,0.6539999999999999
0.89,0.238,0.655
0.9,0.234,0.652
